date,canonical_port,portcalls_dry_bulk,portcalls_total,import_cargo_mt,export_cargo_mt,dry_bulk_calls_7d_avg,dry_bulk_calls_30d_avg,derived_congestion_index,est_waiting_days
2019-01-01,DHAMRA,1,1,48.8839406002074,0.0,1.0,1.0,0.5,2.25
2019-01-02,DHAMRA,1,1,0.0,0.0,1.0,1.0,0.5,2.25
2019-01-03,DHAMRA,0,0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5,2.25
2019-01-04,DHAMRA,0,0,0.0,0.0,0.5,0.5,0.5,2.25
2019-01-05,DHAMRA,1,1,0.0,2.27060739556803,0.6,0.6,0.5,2.25
2019-01-06,DHAMRA,0,0,0.0,0.0,0.5,0.5,0.5,2.25
2019-01-07,DHAMRA,3,3,49.7529884331,37.6976238716424,0.8571428571428571,0.8571428571428571,0.5,2.25
2019-01-08,DHAMRA,1,1,45.6967810892693,0.0,0.8571428571428571,0.875,0.49234753636589823,2.215563913646542
2019-01-09,DHAMRA,1,1,9.57550227042931,0.0,0.8571428571428571,0.8888888888888888,0.48661034494929345,2.1897465522718207
2019-01-10,DHAMRA,1,1,50.8547891669348,0.0,1.0,0.9,0.5415704832167999,2.4370671744755996
2019-01-11,DHAMRA,1,1,6.4771143349478395,0.0,1.1428571428571428,0.9090909090909091,0.5952505765163524,2.6786275943235855
2019-01-12,DHAMRA,2,2,127.001557453732,0.0,1.2857142857142858,1.0,0.6055324872205857,2.724896192492636
2019-01-13,DHAMRA,0,0,0.0,0.0,1.2857142857142858,0.9230769230769231,0.6432012386059679,2.8944055737268557
2019-01-14,DHAMRA,0,0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.5,2.25
2019-01-15,DHAMRA,1,1,0.0,3.8854442189154503,0.8571428571428571,0.8666666666666667,0.495879214182326,2.231456463820467
2019-01-16,DHAMRA,0,0,0.0,0.0,0.7142857142857143,0.8125,0.4547941126718075,2.0465735070231337
2019-01-17,DHAMRA,0,0,0.0,0.0,0.5714285714285714,0.7647058823529411,0.40633894781827296,1.8285252651822284
2019-01-18,DHAMRA,1,1,0.0,0.0,0.5714285714285714,0.7777777777777778,0.40180276654345565,1.8081124494455505
2019-01-19,DHAMRA,2,2,0.0,10.8200659122771,0.5714285714285714,0.8421052631578947,0.381746248555575,1.7178581185000874
2019-01-20,DHAMRA,0,0,0.0,0.0,0.5714285714285714,0.8,0.3944675127794143,1.7751038075073642
2019-01-21,DHAMRA,1,1,0.0,19.8733355550102,0.7142857142857143,0.8095238095238095,0.4559964896748816,2.0519842035369673
2019-01-22,DHAMRA,0,0,0.0,0.0,0.5714285714285714,0.7727272727272727,0.4035352495336593,1.815908622901467
2019-01-23,DHAMRA,1,1,0.0,0.0,0.7142857142857143,0.782608695652174,0.46730860884624403,2.102888739808098
2019-01-24,DHAMRA,0,0,0.0,0.0,0.7142857142857143,0.75,0.48215044559386533,2.169677005172394
2019-01-25,DHAMRA,0,0,0.0,0.0,0.5714285714285714,0.72,0.4232309758150566,1.9045393911677546
2019-01-26,DHAMRA,0,0,0.0,0.0,0.2857142857142857,0.6923076923076923,0.29298046105549375,1.3184120747497219
2019-01-27,DHAMRA,1,1,6.0021894831190705,13.000241103306701,0.42857142857142855,0.7037037037037037,0.35744609020451484,1.6085074059203168
2019-01-28,DHAMRA,0,0,0.0,0.0,0.2857142857142857,0.6785714285714286,0.2955829542851437,1.3301232942831467
2019-01-29,DHAMRA,1,1,25.2815650632506,0.0,0.42857142857142855,0.6896551724137931,0.3617314248336549,1.627791411751447
2019-01-30,DHAMRA,3,3,53.4153639146843,43.302988547945404,0.7142857142857143,0.7666666666666667,0.47440128348604355,2.134805775687196
2019-01-31,DHAMRA,1,1,0.0,34.545565645035104,0.8571428571428571,0.7666666666666667,0.5441394571844889,2.4486275573302
2019-02-01,DHAMRA,1,1,2.07247663138575,0.0,1.0,0.7666666666666667,0.6121887123277204,2.7548492054747418
2019-02-02,DHAMRA,1,1,35.7412529457664,0.0,1.1428571428571428,0.8,0.6553990357712653,2.949295660970694
2019-02-03,DHAMRA,1,1,0.0,11.3747641291355,1.1428571428571428,0.8333333333333334,0.6357911951701146,2.861060378265516
2019-02-04,DHAMRA,2,2,51.0288002760336,0.0,1.4285714285714286,0.8666666666666667,0.7256229899299018,3.2653034546845583
2019-02-05,DHAMRA,1,1,2.35437041622784,0.0,1.4285714285714286,0.9,0.7070195389445062,3.1815879252502777
2019-02-06,DHAMRA,0,0,0.0,0.0,1.0,0.8,0.5926665999540697,2.6669996997933136
2019-02-07,DHAMRA,0,0,0.0,0.0,0.8571428571428571,0.7666666666666667,0.5441394571844889,2.4486275573302
2019-02-08,DHAMRA,2,2,21.7077950324731,34.103805571020295,1.0,0.8,0.5926665999540697,2.6669996997933136
2019-02-09,DHAMRA,1,1,44.166003833246,0.0,1.0,0.8,0.5926665999540697,2.6669996997933136
2019-02-10,DHAMRA,2,2,32.4625679172093,38.4445631314794,1.1428571428571428,0.8333333333333334,0.6357911951701146,2.861060378265516
2019-02-11,DHAMRA,1,1,0.0,6.47589338515501,1.0,0.8,0.5926665999540697,2.6669996997933136
2019-02-12,DHAMRA,1,1,0.0,32.9922941197618,1.0,0.8333333333333334,0.574442516811659,2.5849913256524655
2019-02-13,DHAMRA,2,2,0.0,13.7978832211435,1.2857142857142858,0.9,0.6553990357712653,2.949295660970694
2019-02-14,DHAMRA,0,0,0.0,0.0,1.2857142857142858,0.8666666666666667,0.6737674882875564,3.0319536972940035
2019-02-15,DHAMRA,0,0,0.0,0.0,1.0,0.8666666666666667,0.5574376329113073,2.508469348100883
2019-02-16,DHAMRA,0,0,0.0,0.0,0.8571428571428571,0.8666666666666667,0.495879214182326,2.231456463820467
2019-02-17,DHAMRA,2,2,55.474312109737596,0.0,0.8571428571428571,0.9,0.48215044559386533,2.169677005172394
2019-02-18,DHAMRA,0,0,0.0,0.0,0.7142857142857143,0.8333333333333334,0.44663262720034713,2.009846822401562
2019-02-19,DHAMRA,0,0,0.0,0.0,0.5714285714285714,0.8333333333333334,0.384278175693148,1.729251790619166
2019-02-20,DHAMRA,1,1,0.0,13.7978832211435,0.42857142857142855,0.8333333333333334,0.325508295835916,1.464787331261622
2019-02-21,DHAMRA,0,0,0.0,0.0,0.42857142857142855,0.8333333333333334,0.325508295835916,1.464787331261622
2019-02-22,DHAMRA,1,1,48.2598785118745,0.0,0.5714285714285714,0.8333333333333334,0.384278175693148,1.729251790619166
2019-02-23,DHAMRA,1,1,0.0,0.0,0.7142857142857143,0.8666666666666667,0.4344454746331393,1.9550046358491269
